ID,game_id,Fixture,Attacking Team,Defending Team,Attacking Team ID,Defending Team ID,Goals Scored,Goals Conceded,Goals Difference,Game State,Side,Early/Lateral/Deep,OPTA Event ID,period_id,min,sec,X Coordinate,Y Coordinate,End X Coordinate,End Y Coordinate,Length Pass,% Distance Along X,Player ID,Player Name,Preferred Foot,Outcome,Keypass/Assist,Blocked Pass,Cutback,OPTA Pull Back Qualifier,Out Of Pitch,Ending Too Wide,Cross Type,Set Piece OPTA Event ID,OPTA Cross Qualifier,Time Between Set Piece and Cross,Number Events Between Set Piece and Cross,Linked 2nd Phase Cross IDs,First Contact Type,First Contact Explanation,First Contact Player ID,First Contact Player Name,First Contact Team ID,First Contact Team Name,First Contact Aerial,Defending Goalkeeper ID,Defending Goalkeeper Name,First Contact Event ID,First Contact Shot,First Contact X Coordinate,First Contact Y Coordinate,Cross After A Penalty Kick,Cross After A Throw-in,Penalty Kick OPTA ID,Throw-in OPTA ID,Time Between Penalty Kick And Cross,Time Between Throw-in And Cross,Time Lapsed From Cross And First Contact
47617,f1059892,Arsenal v Chelsea,Chelsea,Arsenal,t8,t3,0,0,NULL,drawing,Right,Lateral,2174262341,1,0,33,87.7,8.3,88.4,11.6,2.36,0.7,p41328,César Azpilicueta,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,61,Ball touch,p223340,Bukayo Saka,t3,,0,p80201,Bernd Leno,2174262343,0,11.6,84.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47619,f1059892,Arsenal v Chelsea,Arsenal,Chelsea,t3,t8,0,0,NULL,drawing,Right,Deep,2174263927,1,4,33,95.3,9.4,95.4,13.4,2.72,0.1,p200641,Reiss Nelson,Right,Unsuccessful,,1,0,0,0,0,Open Play,,1,NULL,NULL,,12,Clearance,p194794,Fikayo Tomori,t8,,0,p109745,Kepa Arrizabalaga,2174263923,0,5.9,90.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49007,f1059915,Crystal Palace v Arsenal,Arsenal,Crystal Palace,t3,t31,1,0,NULL,winning,Right,Deep,2175743161,1,18,54,95.9,14.1,96.5,100,58.39,0.6,p195735,Nicolas Pépé,Left,Unsuccessful,,0,0,0,1,0,Open Play,,1,NULL,NULL,,5,Out,p195735,Nicolas Pépé,t3,,NULL,p40836,Vicente Guaita,2175743163,NULL,96.6,101.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47357,f1059887,Leicester City v Liverpool,Leicester City,Liverpool,t13,t14,0,1,NULL,losing,Left,Deep,2174041543,2,68,3,97,76.4,90.9,45.4,22.02,-6.1,p172850,Ben Chilwell,Left,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,44,Aerial Duel Won,p122798,Andrew Robertson,t14,,1,p116535,Alisson,2174041541,0,9.7,55.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47358,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,1,0,NULL,winning,Left,Deep,2174041615,2,69,27,99.5,99.5,95.8,54.5,30.83,-3.7,p169187,Trent Alexander-Arnold,Right,Unsuccessful,,0,0,0,0,0,Crossed Corner,2174041615,1,NULL,NULL,,4,Handball,p218031,Çaglar Söyüncü,t13,,0,p17745,Kasper Schmeichel,2174041619,0,4.6,46.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47359,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,2,0,NULL,winning,Right,Lateral,2174041835,2,73,12,90.7,14.6,95.1,53.9,27.11,4.4,p169187,Trent Alexander-Arnold,Right,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,12,Headed Clearance,p111931,Ricardo Pereira,t13,,1,p17745,Kasper Schmeichel,2174041837,0,5.7,47.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47360,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,2,0,NULL,winning,Right,Lateral,2174041895,2,73,55,92.8,17.7,91,51.5,23.05,-1.8,p169187,Trent Alexander-Arnold,Right,Successful,Assist,0,0,0,0,0,Open Play,,1,NULL,NULL,,16,Goal,p92217,Roberto Firmino,t14,,0,p17745,Kasper Schmeichel,2174041897,1,91.2,52.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47361,f1059887,Leicester City v Liverpool,Liverpool,Leicester City,t14,t13,3,0,NULL,winning,Left,Early,2174042011,2,76,19,71.2,77,85.8,46.1,25.99,14.6,p122798,Andrew Robertson,Left,Successful,Keypass,0,0,0,0,0,Open Play,,1,NULL,NULL,,13,Miss,p41733,Georginio Wijnaldum,t14,,1,p17745,Kasper Schmeichel,2174042013,1,88,44.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47448,f1059888,Manchester United v Newcastle United,Newcastle United,Manchester United,t4,t1,0,0,NULL,drawing,Left,Deep,2174020939,1,1,4,96.3,85.9,92.8,76.7,7.24,-3.5,p179018,Miguel Almirón,Left,Unsuccessful,,0,0,0,0,0,Open Play,,1,NULL,NULL,,61,Ball touch,p195851,Scott McTominay,t1,,0,p51940,David de Gea,2174020937,0,4.9,15.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47449,f1059888,Manchester United v Newcastle United,Manchester United,Newcastle United,t1,t4,0,0,NULL,drawing,Left,Deep,2174022687,1,11,56,99.5,99.5,91.3,59.1,28.67,-8.2,p101582,Fred,Left,Successful,Keypass,0,0,0,0,0,Crossed Corner,2174022687,1,NULL,NULL,,44,Aerial Duel Won,p95658,Harry Maguire,t1,,1,p67089,Martin Dubravka,2174022697,1,91.9,56.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47450,f1059888,Manchester United v Newcastle United,Manchester United,Newcastle United,t1,t4,0,0,NULL,drawing,Left,Early,2174022809,1,12,50,78.7,94.2,86.7,73.5,16.35,8,p101582,Fred,Left,Unsuccessful,,0,0,0,0,0,Delivery From Short & Other Corner Situation,2174022789,1,NULL,NULL,,61,Ball touch,p180135,Sean Longstaff,t4,,0,p67089,Martin Dubravka,2174022927,0,17.1,8.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
